リンゴ,りんご,RINGO,KINKAN,GOMA,SUMOMO
梨,なし,NASI,NEGI,NASU,KURI
柿,かき,KAKI,KURI,KANI,NASI
バナナ,ばなな,BANANA,DORIAN,BAGETTO,TAKANA
桃,もも,MOMO,IMO,SUMOMO,GOMA
メロン,めろん,MERON,MARON,SUIKA,URI
ナス,なす,NASU,NASI,SUIKA,MOMO
カブ,かぶ,KABU,BURI,BUDOU,SUIKA
トマト,とまと,TOMATO,TAMANEGI,SATOIMO,KABOCHA
ブドウ,ぶどう,BUDOU,KABU,BURI,NASU
苺,いちご,ICHIGO,GOMA,RINGO,KINKAN
スイカ,すいか,SUIKA,SUMOMO,BANAKA,KABU
レモン,れもん,REMON,MIKAN,SUIKA,MARON
ミカン,みかん,MIKAN,SUIKA,REMON,RINGO
ニンジン,にんじん,NINZIN,DAIKON,NASU,DAIKON
大根,だいこん,DAIKON,NINZIN,RENKON,HAKUSAI
白菜,はくさい,HAKUSAI,MIZUNA,KOMATUNA,RENKON
カボチャ,かぼちゃ,KABOCHA,KABU,KINKAN,TOMATO
ジャガイモ,じゃがいも,ZYAGAIMO,SATOIMO,SATUMAIMO,TAROIMO
玉ねぎ,たまねぎ,TAMANEGI,NEGI,TAROIMO,GOBOU
ネギ,ねぎ,NEGI,YOMOGI,NASU,NASI
キュウリ,きゅうり,KYUURI,NASU,KAKI,RAKKYO
ウナギ,うなぎ,UNAGI,USAGI,HUGU,BURI
マグロ,まぐろ,MAGURO,KATUO,SANMA,SAKE
鮭,さけ,SAKE,SANMA,UNAGI,MAGURO
フグ,ふぐ,HUGU,SAKE,BURI,TAI
ブリ,ぶり,BURI,TAI,SAKE,BUTA
鯛,たい,TAI,IKA,BURI,SAKE
