元日,がんじつ,GANZITU,GANTAN,GANKYÛ,GANGU,GANJITSU
初日の出,はつひので,HATUHINODE,HAPPYOKAI,NASU,KURI,HATSUHINODE
春分,しゅんぶん,SYUNBUN,ENBUN,KANBUN,SUIEI,SHUNBUN
節分,せつぶん,SETUBUN,SENAKA,SEKAI,SEIKAKU,SETSUBUN
春,はる,HARU,HANA,HAKO,HONE,HARU
花見,はなみ,HANAMI,YUKIMI,SUIKA,URI,HANAMI
ひな祭り,ひなまつり,HINAMATURI,YUKIMATURI,HITOMI,HINODE,HINAMATSURI
子供の日,子どもの日,KODOMONOHI,HAHANOHI,KOINOBORI,KABUTO,KODOMONOHI
鯉のぼり,こいのぼり,KOINOBORI,TAKINOBORI,KURISUMASU,KABUTO,KOINOBORI
梅雨,つゆ,TUYU,SIKKE,YUME,AME,TSUYU
お正月,おしょうがつ,OSYÔGATU,KABUTO,OKAZARI,OMAIRI,OSHŌGATSU
七草,ななくさ,NANAKUSA,WAKAKUSA,NAZUNA,HAKOBERA,NANAKUSA
夏至,げし,GESI,GAKU,GEMU,KABU,GESHI
七夕,たなばた,TANABATA,TANBO,TABATA,HATAORI,TANABATA
夏祭り,なつまつり,NATUMATURI,NATUMIKAN,SUIKA,MARON,NATSUMATSURI
花火,はなび,HANABI,HANAMI,SUIKA,MARON,HANABI
お盆,おぼん,OBON,UDON,MARON,RINGO,OBON
お月見,おつきみ,OTUKIMI,HANAMI,YUKIMI,DAIKON,OTSUKIMI
秋分,しゅうぶん,SYÛBUN,SOKKUSU,SUMOMO,SUIKA,SHŪBUN
初雪,はつゆき,HATUYUKI,HINODE,YUKIMI,HAKUSAI,HATSUYUKI
七五三,しちごさん,SITIGOSAN,SOKKUSU,SAKURANBO,SUMOMO,SHICHIGOSAN
クリスマス,クリスマス,KURISUMASU,KINOBORI,KODOMONOHI,KOINOBORI,KURISUMASU
大晦日,おおみそか,ÔMISOKA,OZONI,TAROIMO,GOBOU,ŌMISOKA
除夜の鐘,じょやのかね,ZYOYANOKANE,TOKINOKANE,HEIWANOKANE,AINOKANE,JOYANOKANE
年越し,としこし,TOSIKOSI,TOKINOKANE,TANABATA,TABATA,TOSHIKOSHI
恵方巻き,えほうまき,EHÔMAKI,NORIMAKI,ONIGIRI,TOMATO,EHŌMAKI
桜,さくら,SAKURA,SATOIMO,SATUMAIMO,TAROIMO,SAKURA
エイプリルフール,エイプリルフール,EIPURIRUHÛRU,BARENTAIN,ENOGU,HOWAITODE,EIPURIRUFŪRU
海水浴,かいすいよく,KAISUIYOKU,KAKINOKI,NIKKOYOKU,KAMINOKE,KAISUIYOKU
紅葉,もみじ,MOMIZI,MANGA,MOMONGA,SUMOMO,MOMIJI
バレンタイン,バレンタイン,BARENTAIN,BATTERA,TAROIMO,GOBOU,BARENTAIN
ホワイトデー,ホワイトデー,HOWAITODÊ,HOKKAIDO,TAROIMO,HANAMI,HOWAITODĒ
