北海道,ほっかいどう,Hokkaidô,Hakone,Hokuriku,Hokuto,Hokkaidō
青森,あおもり,Aomori,Akita,Morioka,Asakusa,Aomori
岩手,いわて,Iwate,Morioka,Yokote,Iwai,Iwate
宮城,みやぎ,Miyagi,Miyako,Miyazaki,Omiya,Miyagi
秋田,あきた,Akita,Aki,Aida,Aizu,Akita
山形,やまがた,Yamagata,Yamaga,Nigata,Inuyama,Yamagata
福島,ふくしま,Hukusima,Fukuzawa,Fukuoka,Akishima,Fukushima
茨城,いばらき,Ibaraki,Ibara,Kitaibaraki,Inagi,Ibaraki
栃木,とちぎ,Totigi,Tokai,Toda,Togane,Tochigi
群馬,ぐんま,Gunma,Gushi,Gujo,Arima,Gunma
埼玉,さいたま,Saitama,Sakai,Sakura,Sapporo,Saitama
千葉,ちば,Tiba,Chigasaki,Chichibu,Chitose,Chiba
東京,とうきょう,Tôkyô,Kyōto,Tōkai,Togane,Tōkyō
神奈,かながわ,Kanagawa,Kanazawa,Kakogawa,Kagoshima,Kanagawa
新潟,にいがた,Niigata,Nikko,Nichinan,Nikaho,Niigata
富山,とやま,Toyama,Towada,Toyota,Toride,Toyama
石川,いしかわ,Isikawa,Ishigaki,Ishikari,Ishinomaki,Ishikawa
福井,ふくい,Hukui,Fukuoka,Fukushima,Fukuyama,Fukui
山梨,やまなし,Yamanasi,Yamaguchi,Yamagata,Yamaga,Yamanashi
長野,ながの,Nagano,Nagasaki,Nagaoka,Nagato,Nagano
岐阜,ぎふ,Gihu,Ginowan,Gyoda,Goto,Gifu
静岡,しずおか,Sizuoka,Shiogama,Shinagawa,Shibuya,Shizuoka
愛知,あいち,Aichi,Akabira,Aomori,Akashi,Aichi
