北海道,ほっかいどう,Hokkaidô,Hakone,Hokuriku,Hokuto,Hokkaidō
青森,あおもり,Aomori,Akita,Morioka,Asakusa,Aomori
岩手,いわて,Iwate,Morioka,Yokote,Iwai,Iwate
宮城,みやぎ,Miyagi,Miyako,Miyazaki,Omiya,Miyagi
秋田,あきた,Akita,Aki,Aida,Aizu,Akita
山形,やまがた,Yamagata,Yamaga,Nigata,Inuyama,Yamagata
福島,ふくしま,Hukusima,Hukuzawa,Hukuoka,Akisima,Fukushima
茨城,いばらき,Ibaraki,Ibara,Kitaibaraki,Inagi,Ibaraki
栃木,とちぎ,Totigi,Tôkai,Toda,Tôgane,Tochigi
群馬,ぐんま,Gunma,Gusi,Harima,Arima,Gumma
埼玉,さいたま,Saitama,Sakai,Sakura,Sapporo,Saitama
千葉,ちば,Tiba,Tigasaki,Titibu,Titose,Chiba
東京,とうきょう,Tôkyô,Kyôto,Tôkai,Tôgane,Tōkyō
神奈,かながわ,Kanagawa,Kanazawa,Kakogawa,Kagosima,Kanagawa
新潟,にいがた,Niigata,Nikkô,Nichinan,Nikaho,Niigata
富山,とやま,Toyama,Towada,Toyota,Toride,Toyama
石川,いしかわ,Isikawa,Isigaki,Isikari,Isinomaki,Ishikawa
福井,ふくい,Hukui,Hukuoka,Hukusima,Hukuyama,Fukui
山梨,やまなし,Yamanasi,Yamaguti,Yamagata,Yamaga,Yamanashi
長野,ながの,Nagano,Nagasaki,Nagaoka,Nagato,Nagano
岐阜,ぎふ,Gihu,Ginowan,Gyôda,Gotô,Gifu
静岡,しずおか,Sizuoka,Siogama,Sinagawa,Sendai,Shizuoka
愛知,あいち,Aichi,Akabira,Aomori,Akasi,Aichi
三重,みえ,Mie,Mito,Miyako,Mino,Mie
滋賀,しが,Siga,Siki,Sima,Sibuya,Shiga
京都,きょうと,Kyôto,Kiso,Tôkyô,Kitami,Kyōto
大阪,おおさか,Ôsaka,Ôita,Odate,Osima,Ōsaka
兵庫,ひょうご,Hyôgo,Hikone,Hikari,Hidaka,Hyōgo
奈良,なら,Nara,Naka,Nago,Nagato,Nara
和歌山,わかやま,Wakayama,Wazima,Warabi,Wakkanai,Wakayama
鳥取,とっとり,Tottori,Totigi,Tokusima,Toyonaka,Tottori
島根,しまね,Simane,Simabara,Simanto,Simada,Shimane
岡山,おかやま,Okayama,Okazaki,Osima,Odate,Okayama
広島,ひろしま,Hirosima,Hirosaki,Hikone,Hitati,Hiroshima
山口,やまぐち,Yamaguti,Yamagata,Yamato,Yamanasi,Yamaguchi
徳島,とくしま,Tokusima,Tôkamati,Tokoname,Totigi,Tokushima
香川,かがわ,Kagawa,Kaga,kakegawa,Kasima,Kagawa
愛媛,えひめ,Ehime,Ebina,Ebetu,Etizen,Ehime
高知,こうち,Kôti,Kôhu,Kôbe,Koka,Kōchi
福岡,ふくおか,Hukuoka,Hukusima,Hukuyama,Hukaya,Fukuoka
佐賀,さが,Saga,Saito,Sakai,Sakade,Saga
長崎,ながさき,Nagasaki,Nagaoka,Nagato,Nagareyama,Nagasaki
熊本,くまもと,Kumamoto,Kumagaya,Kumano,Kusatu,Kumamoto
大分,おおいた,Ôita,Ôme,Ôkawa,Ôsaka,Ōita
宮崎,みやざき,Miyazaki,Miyake,Miyazima,Mikasa,Miyazaki
鹿児島,かごしま,Kagosima,Kagokawa,Kakegawa,Kasukabe,Kagoshima
沖縄,おきなわ,Okinawa,Ôfunato,Ôgaki,Ôsima,Okinawa
