自転車,じてんしゃ,ZITENSYA,ZUKIN,ZAITAKU,ZAKURO,JITENSHA
車,くるま,KURUMA,TAIYA,HIGUMA,KURUMI,KURUMA
三輪車,さんりんしゃ,SANRINSYA,KURUMA,EKI,BAIKU,SANRINSHA
一輪車,いちりんしゃ,ITIRINSYA,KIPPU,KÔSATEN,BASU,ICHIRINSHA
駅,えき,EKI,KAKI,KIPPU,HUNE,EKI
バス,ばす,BASU,BATTA,KURUMA,IKA,BASU
電車,でんしゃ,DENSYA,DENKI,DENTAKU,SAME,DENSHA
ホーム,ほーむ,HÔMU,HOKORA,HOTARU,HOTATE,HŌMU
改札,かいさつ,KAISATU,KAMIGATA,KAIKEI,KAMINOKE,KAISATSU
切符,きっぷ,KIPPU,KAPPA,KOPPU,KAKI,KIPPU
パス,ぱす,PASU,INU,KUMA,IKA,PASU
飛行機,ひこうき,HIKÔKI,TORA,HIMITU,TONBO,HIKŌKI
船,ふね,HUNE,HUMI,HUKU,KUMA,FUNE
トラック,トラック,TORAKKU,TOROKKO,TANUKI,KUMO,TORAKKU
信号,しんごう,SINGÔ,UMA,TORI,HEBI,SHINGŌ
横断歩道,おうだんほどう,ÔDANHODÔ,ONDANKA,MOMONGA,KUJIRA,ŌDANHODŌ
交差点,こうさてん,KÔSATEN,KAERU,KIPPU,TORAKKU,KŌSATEN
汽車,きしゃ,KISYA,KION,KIBUN,KAPPA,KISHA
新幹線,しんかんせん,SINKANSEN,TANUKI,KOARA,RAKUDA,SHINKANSEN
学校,がっこう,GAKKÔ,GAMEN,GANBARU,GANKO,GAKKŌ
