リンゴ,りんご,ringo,kinkan,goma,sumomo
梨,なし,nasi,negi,nasu,kuri
柿,かき,kaki,kuri,kani,nasi
バナナ,ばなな,banana,dorian,abokado,takana
桃,もも,momo,imo,sumomo,goma
メロン,めろん,meron,maron,suika,uri
ナス,なす,nasu,nasi,suika,momo
カブ,かぶ,kabu,kaki,budou,suika
トマト,とまと,tomato,tamanegi,satoimo,kabocha
ブドウ,ぶどう,budou,kabu,ringo,nasi
苺,いちご,itigo,goma,ringo,kinkan
スイカ,すいか,suika,sumomo,banana,remon
レモン,れもん,remon,mikan,suika,maron
ミカン,みかん,mikan,suika,remon,ringo
ニンジン,にんじん,ninzin,daikon,gobou,renkon
大根,だいこん,daikon,ninzin,renkon,hakusai
白菜,はくさい,hakusai,mizuna,komatuna,renkon
カボチャ,かぼちゃ,kabocha,kabu,kinkan,tomato
ジャガイモ,じゃがいも,zyagaimo,satoimo,satumaimo,taroimo
玉ねぎ,たまねぎ,TAMANEGI,NEGI,TAROIMO,GOBOU
ネギ,ねぎ,NEGI,YOMOGI,NASU,NASI
キュウリ,きゅうり,KYUURI,NASU,KAKI,RAKKYO
ウナギ,うなぎ,UNAGI,USAGI,HUGU,BURI
マグロ,まぐろ,MAGURO,KATUO,SANMA,SAKE
鮭,さけ,SAKE,SANMA,UNAGI,MAGURO
フグ,ふぐ,HUGU,SAKE,BURI,TAI
ブリ,ぶり,BURI,TAI,SAKE,BUTA
鯛,たい,TAI,IKA,BURI,SAKE
